All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
402.450806	1.609388	4.141505	5.551841	0.000000	0.232054	0.264420	
404.042999	1.609011	4.127034	5.503875	0.000000	0.226157	0.252050	
405.635193	1.608634	4.112992	5.458797	0.000000	0.220513	0.240640	
407.227356	1.608262	4.099387	5.416060	0.000000	0.215125	0.229918	
408.819550	1.607896	4.086244	5.375411	0.000000	0.209981	0.219767	
410.411774	1.607531	4.073577	5.336623	0.000000	0.205049	0.210109	
412.003967	1.607165	4.061392	5.299551	0.000000	0.200296	0.200903	
413.596130	1.606802	4.049688	5.264136	0.000000	0.195691	0.192151	
415.188324	1.606448	4.038463	5.230059	0.000000	0.191203	0.183777	
416.780518	1.606095	4.027715	5.197213	0.000000	0.186803	0.175767	
418.372711	1.605741	4.017445	5.165506	0.000000	0.182462	0.168109	
419.964905	1.605387	4.007657	5.134860	0.000000	0.178153	0.160794	
421.557068	1.605094	3.998373	5.105204	0.000000	0.173844	0.153811	
423.149231	1.604820	3.989630	5.076480	0.000000	0.169462	0.147151	
424.741394	1.604547	3.981418	5.048683	0.000000	0.164905	0.140820	
426.333588	1.604273	3.973704	5.021740	0.000000	0.160073	0.134800	
427.925720	1.603987	3.966432	4.995576	0.000000	0.154874	0.129068	
429.517883	1.603656	3.959526	4.970156	0.000000	0.149219	0.123615	
431.110016	1.603325	3.952895	4.945444	0.000000	0.143022	0.118429	
432.702148	1.602994	3.946420	4.921410	0.000000	0.136202	0.113501	
434.294281	1.602663	3.939953	4.898025	0.000000	0.128681	0.108820	
435.886414	1.602370	3.933283	4.875263	0.000000	0.120389	0.104377	
437.478516	1.602114	3.926083	4.853099	0.000000	0.111369	0.100163	
439.070648	1.601858	3.918128	4.831511	0.000000	0.101846	0.096167	
440.662750	1.601602	3.909308	4.810478	0.000000	0.092053	0.092380	
442.254791	1.601346	3.899573	4.789980	0.000000	0.082210	0.088794	
443.846863	1.601096	3.888912	4.769996	0.000000	0.072530	0.085399	
445.438904	1.600849	3.877353	4.750510	0.000000	0.063217	0.082186	
447.030945	1.600602	3.864958	4.731504	0.000000	0.054468	0.079147	
448.622986	1.600355	3.851823	4.712963	0.000000	0.046477	0.076273	
450.215027	1.600108	3.838090	4.694870	0.000000	0.039431	0.073558	
451.807037	1.599866	3.823980	4.677213	0.000000	0.033513	0.070992	
453.399017	1.599627	3.809840	4.659976	0.000000	0.028788	0.068569	
454.990967	1.599389	3.795939	4.643149	0.000000	0.025127	0.066281	
456.582916	1.599150	3.782432	4.626715	0.000000	0.022389	0.064122	
458.174866	1.598912	3.769430	4.610664	0.000000	0.020437	0.062083	
459.766785	1.598676	3.757005	4.594984	0.000000	0.019137	0.060160	
461.358704	1.598446	3.745205	4.579663	0.000000	0.018359	0.058346	
462.950592	1.598217	3.734055	4.564689	0.000000	0.017975	0.056635	
464.542419	1.597987	3.723559	4.550052	0.000000	0.017862	0.055020	
466.134277	1.597757	3.713696	4.535749	0.000000	0.017900	0.053500	
467.726074	1.597527	3.704422	4.521796	0.000000	0.017971	0.052074	
469.317871	1.597353	3.695653	4.508152	0.000000	0.017967	0.050730	
470.909668	1.597187	3.687258	4.494804	0.000000	0.017845	0.049461	
472.501404	1.597020	3.679150	4.481748	0.000000	0.017623	0.048264	
474.093170	1.596854	3.671278	4.468971	0.000000	0.017322	0.047134	
475.684875	1.596688	3.663601	4.456466	0.000000	0.016959	0.046068	
477.276550	1.596511	3.656093	4.444224	0.000000	0.016553	0.045060	
478.868225	1.596298	3.648731	4.432238	0.000000	0.016120	0.044108	
480.459869	1.596085	3.641499	4.420531	0.000000	0.015679	0.043214	
482.051453	1.595872	3.634387	4.409087	0.000000	0.015245	0.042372	
483.643066	1.595658	3.627388	4.397874	0.000000	0.014834	0.041574	
485.234619	1.595445	3.620500	4.386886	0.000000	0.014462	0.040817	
486.826111	1.595252	3.613728	4.376115	0.000000	0.014143	0.040100	
488.417633	1.595098	3.607084	4.365556	0.000000	0.013888	0.039418	
490.009125	1.594944	3.600586	4.355221	0.000000	0.013692	0.038773	
491.600586	1.594791	3.594239	4.345124	0.000000	0.013546	0.038164	
493.191986	1.594637	3.588045	4.335220	0.000000	0.013440	0.037583	
494.783356	1.594483	3.582005	4.325501	0.000000	0.013365	0.037028	
496.374695	1.594330	3.576117	4.315962	0.000000	0.013312	0.036497	
497.966064	1.594182	3.570377	4.306602	0.000000	0.013273	0.035989	
499.557312	1.594034	3.564784	4.297470	0.000000	0.013239	0.035509	
501.148590	1.593886	3.559330	4.288501	0.000000	0.013203	0.035046	
502.739807	1.593739	3.554010	4.279689	0.000000	0.013156	0.034600	
504.330994	1.593591	3.548816	4.271029	0.000000	0.013092	0.034170	
505.922180	1.593443	3.543739	4.262546	0.000000	0.013002	0.033756	
507.513275	1.593258	3.538767	4.254244	0.000000	0.012881	0.033359	
509.104340	1.593069	3.533883	4.246078	0.000000	0.012726	0.032973	
510.695404	1.592880	3.529073	4.238045	0.000000	0.012544	0.032597	
512.286438	1.592690	3.524331	4.230155	0.000000	0.012341	0.032232	
513.877380	1.592501	3.519649	4.222442	0.000000	0.012122	0.031879	
515.468323	1.592311	3.515022	4.214848	0.000000	0.011895	0.031534	
517.059204	1.592135	3.510448	4.207370	0.000000	0.011664	0.031196	
518.650085	1.591998	3.505923	4.200024	0.000000	0.011434	0.030866	
520.240906	1.591862	3.501446	4.192834	0.000000	0.011212	0.030544	
521.831665	1.591726	3.497016	4.185748	0.000000	0.011003	0.030227	
523.422424	1.591589	3.492634	4.178761	0.000000	0.010811	0.029914	
525.013123	1.591453	3.488300	4.171915	0.000000	0.010641	0.029608	
526.603760	1.591316	3.484018	4.165187	0.000000	0.010498	0.029307	
528.194397	1.591197	3.479790	4.158549	0.000000	0.010386	0.029009	
529.784973	1.591110	3.475625	4.152010	0.000000	0.010310	0.028715	
531.375488	1.591022	3.471530	4.145611	0.000000	0.010266	0.028426	
532.965942	1.590935	3.467512	4.139291	0.000000	0.010251	0.028139	
534.556396	1.590848	3.463571	4.133050	0.000000	0.010257	0.027856	
536.146790	1.590761	3.459710	4.126945	0.000000	0.010281	0.027576	
537.737122	1.590674	3.455930	4.120919	0.000000	0.010317	0.027299	
539.327393	1.590582	3.452229	4.114963	0.000000	0.010361	0.027024	
540.917664	1.590457	3.448606	4.109124	0.000000	0.010408	0.026753	
542.507874	1.590331	3.445060	4.103367	0.000000	0.010453	0.026484	
544.098022	1.590206	3.441590	4.097673	0.000000	0.010493	0.026217	
545.688110	1.590081	3.438192	4.092087	0.000000	0.010522	0.025953	
547.278198	1.589956	3.434863	4.086580	0.000000	0.010538	0.025691	
548.868164	1.589831	3.431599	4.081128	0.000000	0.010535	0.025431	
550.458130	1.589705	3.428396	4.075783	0.000000	0.010511	0.025174	
552.048035	1.589583	3.425248	4.070508	0.000000	0.010461	0.024919	
553.637878	1.589464	3.422148	4.065283	0.000000	0.010383	0.024666	
555.227661	1.589344	3.419084	4.060168	0.000000	0.010279	0.024416	
556.817444	1.589224	3.416053	4.055105	0.000000	0.010152	0.024168	
558.407104	1.589104	3.413050	4.050099	0.000000	0.010007	0.023921	
559.996704	1.588984	3.410072	4.045193	0.000000	0.009846	0.023678	
561.586304	1.588865	3.407116	4.040328	0.000000	0.009674	0.023436	
563.175903	1.588745	3.404180	4.035534	0.000000	0.009493	0.023196	
564.765320	1.588656	3.401263	4.030815	0.000000	0.009307	0.022959	
