"channel","Energy","counts","fit","continuum","pileup","Si Ka","Si Kb","P Ka","P Kb","Ni Ka","Ni Kb","Ga Ka","Ga Kb","Ga L1","Ga L2","Ga L3","Rh L1","Rh L2","Rh L3"
795,6.989063,50,29.52323,29.34415,0.0004356313,0.08543435,0.002886796,0.001097218,1.195718e-05,0.05181886,0.002495022,0.03240343,0.002166755,1.62688e-05,5.166185e-05,6.391082e-05,3.932767e-05,6.038517e-05,9.911147e-05
796,6.999066,51,29.74096,29.55973,0.0004334646,0.08510969,0.002875622,0.001092823,1.190805e-05,0.05396983,0.002534438,0.0326926,0.002180046,1.621178e-05,5.148602e-05,6.369427e-05,3.912299e-05,6.009008e-05,9.86415e-05
797,7.009069,58,29.95782,29.7743,0.0004313195,0.08478688,0.002864513,0.001088455,1.185922e-05,0.05625614,0.002574794,0.03298565,0.00219346,1.615507e-05,5.131108e-05,6.347881e-05,3.891991e-05,5.979714e-05,9.817486e-05
798,7.019072,46,30.17475,29.98878,0.0004291957,0.0844659,0.002853468,0.001084112,1.181069e-05,0.05868928,0.00261612,0.03328266,0.002206998,1.609865e-05,5.113703e-05,6.326445e-05,3.871841e-05,5.950635e-05,9.771153e-05
799,7.029076,44,30.39105,30.20247,0.000427093,0.08414674,0.002842487,0.001079796,1.176246e-05,0.06128197,0.002658447,0.0335837,0.002220661,1.604252e-05,5.096387e-05,6.305117e-05,3.851847e-05,5.921767e-05,9.725147e-05
800,7.039079,53,30.60732,30.41595,0.0004250112,0.08382938,0.002831569,0.001075505,1.171452e-05,0.06404835,0.002701808,0.03388884,0.002234452,1.598669e-05,5.079159e-05,6.283896e-05,3.832009e-05,5.89311e-05,9.679466e-05
801,7.049082,37,30.82372,30.62937,0.00042295,0.08351382,0.002820714,0.001071239,1.166687e-05,0.06700422,0.002746237,0.03419816,0.002248372,1.593115e-05,5.062018e-05,6.262783e-05,3.812324e-05,5.86466e-05,9.634107e-05
802,7.059086,44,31.0397,30.84214,0.0004209094,0.08320004,0.002809921,0.001067,1.161952e-05,0.07016735,0.002791769,0.03451173,0.002262422,1.58759e-05,5.044963e-05,6.241776e-05,3.79279e-05,5.836415e-05,9.589065e-05
803,7.069089,54,31.25577,31.05477,0.000418889,0.08288802,0.00279919,0.001062785,1.157245e-05,0.07355797,0.002838441,0.03482962,0.002276604,1.582093e-05,5.027994e-05,6.220874e-05,3.773407e-05,5.808375e-05,9.54434e-05
804,7.079092,50,31.47139,31.26669,0.0004168887,0.08257775,0.00278852,0.001058595,1.152567e-05,0.07719948,0.002886292,0.03515193,0.00229092,1.576626e-05,5.011111e-05,6.200077e-05,3.754173e-05,5.780536e-05,9.499926e-05
805,7.089095,56,31.68723,31.47855,0.0004149083,0.08226923,0.002777911,0.00105443,1.147917e-05,0.08111972,0.00293536,0.03547873,0.002305372,1.571186e-05,4.994313e-05,6.179385e-05,3.735085e-05,5.752897e-05,9.455823e-05
806,7.099099,59,31.90331,31.69032,0.0004129477,0.08196242,0.002767363,0.001050289,1.143295e-05,0.08535312,0.002985688,0.03581011,0.00231996,1.565774e-05,4.977599e-05,6.158795e-05,3.716144e-05,5.725456e-05,9.412026e-05
807,7.109102,47,32.11919,31.90153,0.0004110066,0.08165734,0.002756874,0.001046173,1.138702e-05,0.0899446,0.003037319,0.03614615,0.002334688,1.560391e-05,4.960969e-05,6.138309e-05,3.697346e-05,5.698211e-05,9.368533e-05
808,7.119105,48,32.33507,32.11231,0.0004090849,0.08135395,0.002746445,0.001042081,1.134135e-05,0.09495636,0.003090298,0.03648694,0.002349556,1.555035e-05,4.944422e-05,6.117924e-05,3.678691e-05,5.671161e-05,9.325341e-05
809,7.129109,51,32.55118,32.3228,0.0004071825,0.08105225,0.002736075,0.001038012,1.129596e-05,0.1004799,0.003144674,0.03683256,0.002364566,1.549706e-05,4.927958e-05,6.097641e-05,3.660178e-05,5.644302e-05,9.282447e-05
810,7.139112,68,32.76771,32.53305,0.0004052991,0.08075222,0.002725764,0.001033968,1.125085e-05,0.1066569,0.003200494,0.03718312,0.002379721,1.544405e-05,4.911576e-05,6.077459e-05,3.641804e-05,5.617635e-05,9.239849e-05
811,7.149115,51,32.98483,32.743,0.0004034345,0.08045386,0.002715511,0.001029947,1.1206e-05,0.113714,0.003257811,0.03753871,0.002395022,1.539131e-05,4.895275e-05,6.057376e-05,3.623569e-05,5.591156e-05,9.197544e-05
812,7.159118,54,33.20293,32.95268,0.0004015887,0.08015714,0.002705316,0.00102595,1.116142e-05,0.122021,0.003316678,0.03789941,0.002410471,1.533884e-05,4.879056e-05,6.037393e-05,3.605471e-05,5.564864e-05,9.155529e-05
813,7.169122,50,33.42231,33.16176,0.0003997614,0.07986207,0.002695178,0.001021975,1.111711e-05,0.1321841,0.003377152,0.03826534,0.00242607,1.528664e-05,4.862916e-05,6.017509e-05,3.587508e-05,5.538757e-05,9.113801e-05
